Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
30,Exit long,2025-07-23 04:45:00,BE,118682.8,0.130919,15517.894529500001,7.52,0.05,225.47,1.45,-148.78,-0.96,-769.1,-7.69
30,Entry long,2025-07-22 08:15:00,Long,118530.5,0.130919,15517.894529500001,7.52,0.05,225.47,1.45,-148.78,-0.96,-769.1,-7.69
31,Exit short,2025-07-23 16:45:00,BE,118313.7,0.159162,18845.9585988,-0.16,0,175.13,0.93,-40.63,-0.22,-776.79,-7.77
31,Entry short,2025-07-23 07:30:00,Short,118407.4,0.159162,18845.9585988,-0.16,0,175.13,0.93,-40.63,-0.22,-776.79,-7.77
32,Exit short,2025-07-23 16:45:00,BE,118313.7,0.159163,18846.077006199997,-0.16,0,175.13,0.93,-40.63,-0.22,-769.41,-7.69
32,Entry short,2025-07-23 07:30:00,Short,118407.4,0.159163,18846.077006199997,-0.16,0,175.13,0.93,-40.63,-0.22,-769.41,-7.69
33,Exit long,2025-07-24 06:00:00,SL,117774.9,0.161454,19215.3993738,-215.46,-1.12,32.79,0.17,-207.86,-1.08,-992.56,-9.93
33,Entry long,2025-07-24 01:30:00,Long,119014.7,0.161454,19215.3993738,-215.46,-1.12,32.79,0.17,-207.86,-1.08,-992.56,-9.93
34,Exit long,2025-07-24 06:00:00,SL,117774.9,0.161454,19215.3993738,-215.46,-1.12,32.79,0.17,-207.86,-1.08,-1200.34,-12
34,Entry long,2025-07-24 01:30:00,Long,119014.7,0.161454,19215.3993738,-215.46,-1.12,32.79,0.17,-207.86,-1.08,-1200.34,-12
35,Exit long,2025-07-25 01:30:00,SL,117805.4,0.139487,16632.4717261,-213.38,-1.28,12.4,0.07,-206.8,-1.24,-1420.37,-14.2
35,Entry long,2025-07-24 16:00:00,Long,119240.3,0.139487,16632.4717261,-213.38,-1.28,12.4,0.07,-206.8,-1.24,-1420.37,-14.2
36,Exit long,2025-07-25 01:30:00,SL,117805.4,0.139488,16632.5909664,-213.38,-1.28,12.4,0.07,-206.8,-1.24,-1627.09,-16.27
36,Entry long,2025-07-24 16:00:00,Long,119240.3,0.139488,16632.5909664,-213.38,-1.28,12.4,0.07,-206.8,-1.24,-1627.09,-16.27
37,Exit short,2025-07-25 12:15:00,TRAIL,116658.7,0.150761,17700.095205,98.4,0.56,405.66,2.29,-53.57,-0.3,-1535.77,-15.36
37,Entry short,2025-07-25 02:15:00,Short,117405,0.150761,17700.095205,98.4,0.56,405.66,2.29,-53.57,-0.3,-1535.77,-15.36
38,Exit short,2025-07-25 12:15:00,TRAIL,116658.7,0.150762,17700.212610000002,98.4,0.56,405.66,2.29,-53.58,-0.3,-1430.29,-14.3
38,Entry short,2025-07-25 02:15:00,Short,117405,0.150762,17700.212610000002,98.4,0.56,405.66,2.29,-53.58,-0.3,-1430.29,-14.3
39,Exit long,2025-07-29 16:30:00,BE,117355.7,0.145816,17092.405704,6.25,0.04,371.26,2.17,-51.31,-0.3,-1430.88,-14.31
39,Entry long,2025-07-25 21:30:00,Long,117219,0.145816,17092.405704,6.25,0.04,371.26,2.17,-51.31,-0.3,-1430.88,-14.31
40,Exit long,2025-07-29 16:30:00,BE,117355.7,0.145816,17092.405704,6.25,0.04,371.26,2.17,-51.31,-0.3,-1417.79,-14.18
40,Entry long,2025-07-25 21:30:00,Long,117219,0.145816,17092.405704,6.25,0.04,371.26,2.17,-51.31,-0.3,-1417.79,-14.18
41,Exit short,2025-07-30 15:45:00,SL,118651.1,0.119351,14011.0077483,-161.39,-1.15,50.53,0.36,-155.72,-1.11,-1584.78,-15.85
41,Entry short,2025-07-29 16:30:00,Short,117393.3,0.119351,14011.0077483,-161.39,-1.15,50.53,0.36,-155.72,-1.11,-1584.78,-15.85
42,Exit short,2025-07-30 15:45:00,SL,118651.1,0.119351,14011.0077483,-161.39,-1.15,50.53,0.36,-155.72,-1.11,-1740.57,-17.41
42,Entry short,2025-07-29 16:30:00,Short,117393.3,0.119351,14011.0077483,-161.39,-1.15,50.53,0.36,-155.72,-1.11,-1740.57,-17.41
43,Exit short,2025-07-31 01:00:00,SL,117876.2,0.090867,10560.9625548,-158.6,-1.5,8.02,0.08,-154.32,-1.46,-1903.4,-19.03
43,Entry short,2025-07-30 20:00:00,Short,116224.4,0.090867,10560.9625548,-158.6,-1.5,8.02,0.08,-154.32,-1.46,-1903.4,-19.03
44,Exit short,2025-07-31 01:00:00,SL,117876.2,0.090867,10560.9625548,-158.6,-1.5,8.02,0.08,-154.32,-1.46,-2057.77,-20.58
44,Entry short,2025-07-30 20:00:00,Short,116224.4,0.090867,10560.9625548,-158.6,-1.5,8.02,0.08,-154.32,-1.46,-2057.77,-20.58
45,Exit long,2025-07-31 20:00:00,SL,117348.8,0.196237,23228.377453,-218.7,-0.94,96.87,0.42,-209.49,-0.9,-2285.77,-22.86
45,Entry long,2025-07-31 01:45:00,Long,118369,0.196237,23228.377453,-218.7,-0.94,96.87,0.42,-209.49,-0.9,-2285.77,-22.86
46,Exit long,2025-07-31 20:00:00,SL,117348.8,0.196238,23228.495822,-218.7,-0.94,96.87,0.42,-209.49,-0.9,-2495.18,-24.95
46,Entry long,2025-07-31 01:45:00,Long,118369,0.196238,23228.495822,-218.7,-0.94,96.87,0.42,-209.49,-0.9,-2495.18,-24.95
47,Exit long,2025-08-05 13:30:00,BE,113576.7,0.187131,21233.8107093,2.92,0.01,406.13,1.91,-43.04,-0.2,-2500.76,-25.01
47,Entry long,2025-08-03 04:15:00,Long,113470.3,0.187131,21233.8107093,2.92,0.01,406.13,1.91,-43.04,-0.2,-2500.76,-25.01
48,Exit long,2025-08-05 13:30:00,BE,113576.7,0.187131,21233.8107093,2.92,0.01,406.13,1.91,-43.04,-0.2,-2489.35,-24.89
48,Entry long,2025-08-03 04:15:00,Long,113470.3,0.187131,21233.8107093,2.92,0.01,406.13,1.91,-43.04,-0.2,-2489.35,-24.89
49,Exit short,2025-08-06 15:45:00,SL,114638.9,0.105143,11903.3652016,-159.7,-1.34,61.35,0.52,-154.87,-1.3,-2653.81,-26.54
