time,open,high,low,close
1752168000,211.63040667,211.92922119,211.54076231,211.77981393
1752168600,211.78977441,212.31768007,211.72005102,211.94914216
1752169200,211.95910264,211.96906313,211.6702486,211.6702486
1752169800,211.66028812,211.82961635,211.55072279,211.55072279
1752170400,211.56068328,211.72005102,211.4809994,211.72005102
1752171000,211.71507078,212.05870748,211.56068328,211.99894458
1752171600,211.98898409,212.15831232,211.73997199,211.74993247
1752172200,211.76985344,212.12843087,211.73001151,211.80969538
1752172800,211.80969538,212.15831232,211.80969538,212.11847039
1752173400,212.12843087,212.2977591,211.98898409,212.08858894
1752174000,212.07862845,212.60653411,211.96906313,212.048747
1752174600,212.048747,212.11847039,211.83957683,211.8943595
1752175200,211.88937925,211.95910264,211.73499175,211.73997199
1752175800,211.73499175,212.06368773,211.71009054,212.01886555
1752176400,212.00890506,212.17823329,211.70013005,211.77981393
1752177000,211.76985344,211.76985344,211.21206633,211.59056473
1752240600,209.73293444,210.18613646,209.05064127,209.54866548
1752241200,209.54368524,209.83751952,209.04068079,209.73791468
1752241800,209.72795419,210.28574131,209.5984679,210.13633404
1752242400,210.1662155,210.64431873,210.04668969,210.56463486
1752243000,210.5696151,210.94313326,210.49491147,210.81364697
1752243600,210.80368648,211.28178972,210.74392358,210.95309374
1752244200,210.94313326,210.95309374,210.44510905,210.51483244
1752244800,210.49491147,210.55467438,210.20605743,210.33554373
1752245400,210.35546469,210.37538566,209.96700581,210.13633404
1752246000,210.12637356,210.30566227,209.94708484,210.02676872
1752246600,210.02676872,210.02676872,209.64827032,209.93712436
1752247200,209.94708484,210.21601792,209.91720339,209.98692678
1752247800,209.98692678,210.14629453,209.83751952,209.99688727
1752248400,210.01680823,210.36542518,209.73293444,209.76779613
1752249000,209.76779613,209.85744049,209.5984679,209.82755903
1752249600,209.83751952,210.05665017,209.83751952,210.00684775
1752250200,210.01680823,210.21601792,209.93712436,210.01680823
1752250800,210.01680823,210.08653162,209.76779613,209.79767758
1752251400,209.7877171,209.83751952,209.62834935,209.67815177
1752252000,209.68811226,209.92716388,209.66819129,209.88732194
1752252600,209.89728242,210.23593888,209.87736146,210.18613646
1752253200,210.18613646,210.44510905,210.06661065,210.34550421
1752253800,210.34550421,210.34550421,210.15625501,210.28574131
1752254400,210.30068203,210.39530663,210.19609695,210.33056348
1752255000,210.32558324,210.38534615,210.12637356,210.18613646
1752255600,210.18613646,210.36542518,210.15625501,210.34550421
1752256200,210.35048445,210.39530663,210.25585985,210.3803659
1752256800,210.36542518,210.81364697,210.35546469,210.59451631
1752257400,210.59451631,210.61443728,210.44510905,210.56463486
1752258000,210.55467438,210.71404212,210.53475341,210.5696151
1752258600,210.57459535,210.64431873,210.46503002,210.52479292
1752259200,210.53475341,210.67420019,210.45506954,210.45506954
1752259800,210.4749905,210.50487196,210.19609695,210.29570179
1752260400,210.28574131,210.30068203,209.7877171,210.17617598
1752261000,210.17617598,210.33554373,210.00684775,210.27578082
1752261600,210.27578082,210.46503002,210.27578082,210.31562276
1752262200,210.29570179,210.36542518,210.21601792,210.33554373
1752262800,210.33554373,210.39530663,210.19111671,210.35546469
1752263400,210.46503002,210.57459535,210.19609695,210.24589937
1752499800,209.09546345,210.07657114,208.46297271,208.67214287
1752500400,208.67214287,208.68210336,207.13822831,207.47688478
1752501000,207.50676623,207.73585736,206.85933476,207.04858396
1752501600,207.06850493,207.32747751,206.71988798,207.07846541
1752502200,207.09838638,207.81554124,207.00874202,207.65617349
1752502800,207.62629204,207.95498801,207.1481888,207.25775412
1752503400,207.24779364,207.55656865,207.00874202,207.44700332
1752504000,207.43704284,207.7756993,207.36731945,207.46692429
1752504600,207.47688478,207.92510656,207.43704284,207.66613397
1752505200,207.63625252,208.06455334,207.56652913,207.68605494
1752505800,207.68605494,207.85538317,207.3972009,207.75079809
1752506400,207.74581785,207.94502753,207.48684526,207.93506705
1752507000,207.94502753,208.16415818,207.75577833,208.16415818
1752507600,208.15917794,208.31356544,207.82550172,207.86534366
1752508200,207.84542269,208.09443479,207.73585736,208.00479044
1752508800,208.00977068,208.3434469,207.94502753,208.33348641
1752509400,208.32352593,208.35340738,207.9649485,208.16415818
1752510000,208.16415818,208.26376302,207.85538317,208.01475092
1752510600,208.0247114,208.30360496,207.9649485,208.10439528
1752511200,208.10439528,208.31356544,208.0247114,208.2139606
1752511800,208.23388157,208.41317029,208.07451382,208.07451382
1752512400,208.06455334,208.17411867,207.95498801,207.9649485
1752513000,207.9649485,208.4032098,207.95000777,208.25380254
1752513600,208.26376302,208.49285416,208.16415818,208.17411867
1752514200,208.18407915,208.43309125,208.18407915,208.30360496
1752514800,208.28866423,208.47293319,208.18407915,208.4032098
1752515400,208.4032098,208.42313077,208.28368399,208.3434469
1752516000,208.33348641,208.62234045,208.33348641,208.36336786
1752516600,208.36336786,208.46297271,208.26376302,208.32352593
1752517200,208.32352593,208.40819004,208.13925697,208.17411867
1752517800,208.17411867,208.3434469,208.15917794,208.30360496
1752518400,208.28368399,208.54265658,208.24384206,208.37332835
1752519000,208.36336786,208.57751827,208.36336786,208.48787392
1752519600,208.49285416,208.52771585,208.09443479,208.11435576
1752520200,208.10439528,208.52273561,208.05459286,208.45301222
1752520800,208.45301222,208.48289367,208.20400012,208.35340738
1752521400,208.36336786,208.36336786,208.00479044,208.0247114
1752522000,208.00479044,208.03467189,207.69601543,207.78565978
1752522600,207.79562027,208.08447431,207.73585736,207.73585736
1752586200,208.49285416,209.85744049,208.10439528,209.73791468
1752586800,209.73791468,210.28574131,208.91119449,209.06060176
1752587400,209.05064127,209.48890257,208.57253803,208.82155014
1752588000,208.8414711,209.33949531,208.52273561,208.9709574
1752588600,208.96099691,209.45902112,208.87135256,209.08052272
1752589200,209.07056224,209.42913967,208.87135256,209.31957434
1752589800,209.30961386,209.33949531,208.7468465,208.91119449
1752590400,208.90123401,209.24985095,208.68210336,208.98091788
1752591000,208.96099691,209.01079933,208.37332835,208.51277513
1752591600,208.55261706,209.04068079,208.44305174,208.9709574
1752592200,208.95103643,209.88732194,208.89127352,209.88732194
1752592800,209.83751952,210.59451631,209.6582308,210.59451631
1752593400,210.6044768,211.05269858,210.20605743,210.92321229
1752594000,210.91325181,210.9829752,210.45506954,210.71404212
1752594600,210.72400261,210.74392358,209.90724291,209.93712436
1752595200,209.9769663,210.07657114,209.53870499,209.79767758
1752595800,209.77775661,209.84748,209.58850742,209.62834935
1752596400,209.61838887,209.96700581,209.52874451,209.84748
1752597000,209.86740097,210.1662155,209.73791468,209.84748
1752597600,209.83751952,209.9769663,209.61838887,209.81759855
1752598200,209.80763807,210.08653162,209.54866548,209.73791468
1752598800,209.72795419,210.2259784,209.72795419,209.90724291
1752599400,209.91720339,210.07657114,209.61838887,209.77775661
1752600000,209.77775661,209.92716388,209.68811226,209.84748
1752600600,209.85744049,210.24589937,209.84748,210.19609695
1752601200,210.19609695,210.33554373,209.96700581,210.14629453
1752601800,210.13633404,210.5098522,210.07657114,210.44510905
1752602400,210.44510905,210.68416067,210.37538566,210.54471389
1752603000,210.53475341,210.83356793,210.4749905,210.59451631
1752603600,210.59451631,210.74392358,210.45506954,210.54471389
1752604200,210.55467438,210.64431873,210.31562276,210.32558324
1752604800,210.33554373,210.40526712,210.05665017,210.07657114
1752605400,210.06661065,210.09649211,209.5984679,209.68811226
1752606000,209.67815177,209.83751952,209.56858645,209.74787516
1752606600,209.73791468,209.84748,209.53870499,209.55862596
1752607200,209.55862596,209.57854693,209.13032514,209.3494558
1752607800,209.35941628,209.45902112,208.61237997,208.89625377
1752608400,208.89127352,209.13032514,208.7817082,208.79166868
1752609000,208.81158965,209.17016708,208.1541977,208.22392109
1752672600,209.42913967,210.37538566,209.35941628,210.14629453
1752673200,210.11641307,210.36542518,209.62834935,209.62834935
1752673800,209.62336911,210.25585985,209.08550297,210.24091913
1752674400,210.20605743,210.40526712,209.76779613,210.1662155
1752675000,210.1662155,211.47103892,210.15625501,211.42621674
1752675600,211.44115747,211.56068328,210.92321229,211.26186875
1752676200,211.26186875,211.34155262,210.44510905,210.45506954
1752676800,210.46503002,210.55467438,210.05665017,210.09649211
1752677400,210.09649211,210.28574131,209.64827032,209.94708484
1752678000,209.96700581,210.15625501,209.71799371,209.7877171
1752678600,209.80763807,210.04668969,208.83151062,208.86139207
1752679200,208.86139207,209.39925822,208.47293319,209.28969289
1752679800,209.29965337,209.29965337,207.81554124,208.12431625
1752680400,208.11435576,208.99087837,208.00479044,208.92115498
