Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
51,Entry short,2025-07-18 15:15:00,Short,117930.6,0.093779,11059.4137374,-159.01,-1.44,141.92,1.28,-154.53,-1.4,-1608.09,-16.08
52,Exit short,2025-07-21 08:15:00,SL,119531.2,0.093779,11059.4137374,-159.01,-1.44,141.92,1.28,-154.53,-1.4,-1762.67,-17.63
52,Entry short,2025-07-18 15:15:00,Short,117930.6,0.093779,11059.4137374,-159.01,-1.44,141.92,1.28,-154.53,-1.4,-1762.67,-17.63
53,Exit long,2025-07-21 11:30:00,SL,118400.1,0.165971,19851.1606202,-215.98,-1.09,11.05,0.06,-208.12,-1.05,-1986.59,-19.87
53,Entry long,2025-07-21 08:15:00,Long,119606.2,0.165971,19851.1606202,-215.98,-1.09,11.05,0.06,-208.12,-1.05,-1986.59,-19.87
54,Exit long,2025-07-21 11:30:00,SL,118400.1,0.165971,19851.1606202,-215.98,-1.09,11.05,0.06,-208.12,-1.05,-2194.63,-21.95
54,Entry long,2025-07-21 08:15:00,Long,119606.2,0.165971,19851.1606202,-215.98,-1.09,11.05,0.06,-208.12,-1.05,-2194.63,-21.95
55,Exit long,2025-07-21 18:30:00,SL,117370.2,0.179011,21210.7448735,-217.08,-1.02,118.88,0.56,-208.67,-0.98,-2420.19,-24.2
55,Entry long,2025-07-21 11:30:00,Long,118488.5,0.179011,21210.7448735,-217.08,-1.02,118.88,0.56,-208.67,-0.98,-2420.19,-24.2
56,Exit long,2025-07-21 18:30:00,SL,117370.2,0.179011,21210.7448735,-217.08,-1.02,118.88,0.56,-208.67,-0.98,-2628.78,-26.29
56,Entry long,2025-07-21 11:30:00,Long,118488.5,0.179011,21210.7448735,-217.08,-1.02,118.88,0.56,-208.67,-0.98,-2628.78,-26.29
57,Exit short,2025-07-22 11:45:00,SL,118884.6,0.099402,11667.260049,-159.5,-1.37,145.38,1.25,-154.77,-1.33,-2792.95,-27.93
57,Entry short,2025-07-21 18:30:00,Short,117374.5,0.099402,11667.260049,-159.5,-1.37,145.38,1.25,-154.77,-1.33,-2792.95,-27.93
58,Exit short,2025-07-22 11:45:00,SL,118884.6,0.099402,11667.260049,-159.5,-1.37,145.38,1.25,-154.77,-1.33,-2947.79,-29.48
58,Entry short,2025-07-21 18:30:00,Short,117374.5,0.099402,11667.260049,-159.5,-1.37,145.38,1.25,-154.77,-1.33,-2947.79,-29.48
59,Exit long,2025-07-22 15:00:00,SL,117554.6,0.143835,17108.6122935,-213.75,-1.25,84.66,0.49,-206.99,-1.21,-3168.38,-31.68
59,Entry long,2025-07-22 11:45:00,Long,118946.1,0.143835,17108.6122935,-213.75,-1.25,84.66,0.49,-206.99,-1.21,-3168.38,-31.68
60,Exit long,2025-07-22 15:00:00,SL,117554.6,0.143836,17108.7312396,-213.75,-1.25,84.66,0.49,-206.99,-1.21,-3375.29,-33.75
60,Entry long,2025-07-22 11:45:00,Long,118946.1,0.143836,17108.7312396,-213.75,-1.25,84.66,0.49,-206.99,-1.21,-3375.29,-33.75
61,Exit short,2025-07-22 19:45:00,SL,120164.4,0.084589,10014.5001689,-158.16,-1.58,18.74,0.19,-154.09,-1.54,-3537.46,-35.37
61,Entry short,2025-07-22 15:00:00,Short,118390.1,0.084589,10014.5001689,-158.16,-1.58,18.74,0.19,-154.09,-1.54,-3537.46,-35.37
62,Exit short,2025-07-22 19:45:00,SL,120164.4,0.08459,10014.618559,-158.16,-1.58,18.74,0.19,-154.09,-1.54,-3691.61,-36.92
62,Entry short,2025-07-22 15:00:00,Short,118390.1,0.08459,10014.618559,-158.16,-1.58,18.74,0.19,-154.09,-1.54,-3691.61,-36.92
63,Exit long,2025-07-23 10:15:00,SL,117984.4,0.112168,13434.193108000001,-210.79,-1.57,50.3,0.37,-205.49,-1.53,-3907.77,-39.08
63,Entry long,2025-07-22 19:45:00,Long,119768.5,0.112168,13434.193108000001,-210.79,-1.57,50.3,0.37,-205.49,-1.53,-3907.77,-39.08
64,Exit long,2025-07-23 10:15:00,SL,117984.4,0.112168,13434.193108000001,-210.79,-1.57,50.3,0.37,-205.49,-1.53,-4113.18,-41.13
64,Entry long,2025-07-22 19:45:00,Long,119768.5,0.112168,13434.193108000001,-210.79,-1.57,50.3,0.37,-205.49,-1.53,-4113.18,-41.13
65,Exit short,2025-07-24 01:15:00,SL,118871.7,0.162499,19166.3670524,-165.56,-0.86,105.69,0.55,-157.83,-0.82,-4286.41,-42.86
65,Entry short,2025-07-23 10:15:00,Short,117947.6,0.162499,19166.3670524,-165.56,-0.86,105.69,0.55,-157.83,-0.82,-4286.41,-42.86
66,Exit short,2025-07-24 01:15:00,SL,118871.7,0.162499,19166.3670524,-165.56,-0.86,105.69,0.55,-157.83,-0.82,-4444.3,-44.44
66,Entry short,2025-07-23 10:15:00,Short,117947.6,0.162499,19166.3670524,-165.56,-0.86,105.69,0.55,-157.83,-0.82,-4444.3,-44.44
67,Exit long,2025-07-24 06:00:00,SL,117732.4,0.158912,18909.256704,-215.21,-1.14,35.88,0.19,-207.73,-1.1,-4667.08,-46.67
67,Entry long,2025-07-24 01:15:00,Long,118992.0,0.158912,18909.256704,-215.21,-1.14,35.88,0.19,-207.73,-1.1,-4667.08,-46.67
68,Exit long,2025-07-24 06:00:00,SL,117732.4,0.158913,18909.375696,-215.21,-1.14,35.88,0.19,-207.73,-1.1,-4874.73,-48.75
68,Entry long,2025-07-24 01:15:00,Long,118992.0,0.158913,18909.375696,-215.21,-1.14,35.88,0.19,-207.73,-1.1,-4874.73,-48.75
69,Exit short,2025-07-24 09:00:00,SL,118761.0,0.12617,14833.945687000001,-162.06,-1.09,59.79,0.4,-156.06,-1.05,-5042.72,-50.43
69,Entry short,2025-07-24 06:00:00,Short,117571.1,0.12617,14833.945687000001,-162.06,-1.09,59.79,0.4,-156.06,-1.05,-5042.72,-50.43
70,Exit short,2025-07-24 09:00:00,SL,118761.0,0.12617,14833.945687000001,-162.06,-1.09,59.79,0.4,-156.06,-1.05,-5198.84,-51.99
70,Entry short,2025-07-24 06:00:00,Short,117571.1,0.12617,14833.945687000001,-162.06,-1.09,59.79,0.4,-156.06,-1.05,-5198.84,-51.99
71,Exit short,2025-07-26 03:30:00,TRAIL,117633.4,0.101194,12010.574188400002,97.21,0.81,402.13,3.35,-83.87,-0.7,-5106.43,-51.06
71,Entry short,2025-07-24 09:00:00,Short,118688.6,0.101194,12010.574188400002,97.21,0.81,402.13,3.35,-83.87,-0.7,-5106.43,-51.06
72,Exit short,2025-07-26 03:30:00,TRAIL,117633.4,0.101195,12010.692877,97.22,0.81,402.13,3.35,-83.87,-0.7,-5004.41,-50.04
72,Entry short,2025-07-24 09:00:00,Short,118688.6,0.101195,12010.692877,97.22,0.81,402.13,3.35,-83.87,-0.7,-5004.41,-50.04
73,Exit long,2025-07-28 15:15:00,TRAIL,118022.2,0.212868,25000.0481052,103.05,0.41,494.09,1.98,-43.19,-0.17,-4911.36,-49.11
73,Entry long,2025-07-26 03:30:00,Long,117443.9,0.212868,25000.0481052,103.05,0.41,494.09,1.98,-43.19,-0.17,-4911.36,-49.11
74,Exit long,2025-07-28 15:15:00,TRAIL,118022.2,0.212868,25000.0481052,103.05,0.41,494.09,1.98,-43.19,-0.17,-4798.31,-47.98
74,Entry long,2025-07-26 03:30:00,Long,117443.9,0.212868,25000.0481052,103.05,0.41,494.09,1.98,-43.19,-0.17,-4798.31,-47.98
75,Exit short,2025-07-31 01:15:00,BE,117937.7,0.121937,14395.9066074,3.43,0.02,282.04,1.96,-151.9,-1.05,-4800.64,-48.01
75,Entry short,2025-07-28 15:15:00,Short,118060.2,0.121937,14395.9066074,3.43,0.02,282.04,1.96,-151.9,-1.05,-4800.64,-48.01
76,Exit short,2025-07-31 01:15:00,BE,117937.7,0.121937,14395.9066074,3.43,0.02,282.04,1.96,-151.9,-1.05,-4791.45,-47.91
76,Entry short,2025-07-28 15:15:00,Short,118060.2,0.121937,14395.9066074,3.43,0.02,282.04,1.96,-151.9,-1.05,-4791.45,-47.91
